timestamp,Infrared to Red Signal Ratio
10/29/22 00:59:30,1
10/29/22 01:00:30,1
10/29/22 01:01:30,-9
10/29/22 01:02:30,4
10/29/22 01:03:30,-3
10/29/22 01:04:30,0
10/29/22 01:05:30,1
10/29/22 01:06:30,34
10/29/22 01:07:30,-14
10/29/22 01:08:30,0
10/29/22 01:09:30,-17
10/29/22 01:10:30,43
10/29/22 01:11:30,-19
10/29/22 01:12:30,11
10/29/22 01:13:30,-7
10/29/22 01:14:30,-1
10/29/22 01:15:58,-1
10/29/22 01:16:58,8
10/29/22 01:17:58,0
10/29/22 01:18:58,-3
10/29/22 01:19:59,0
10/29/22 01:20:59,0
10/29/22 01:21:59,0
10/29/22 01:22:59,0
10/29/22 01:23:59,0
10/29/22 01:24:58,0
10/29/22 01:25:58,-26
10/29/22 01:26:58,0
10/29/22 01:27:58,2
10/29/22 01:28:58,0
10/29/22 01:29:58,0
10/29/22 01:30:58,0
10/29/22 01:31:58,0
10/29/22 01:32:58,3
10/29/22 01:33:58,2
10/29/22 01:34:58,4
10/29/22 01:35:58,-35
10/29/22 01:36:58,4
10/29/22 01:37:58,-56
10/29/22 01:38:58,5
10/29/22 01:40:00,8
10/29/22 01:41:00,10
10/29/22 01:42:00,-4
10/29/22 01:43:00,0
10/29/22 01:44:58,-4
10/29/22 01:45:58,0
10/29/22 01:46:58,1
10/29/22 01:47:58,18
10/29/22 01:48:58,-5
10/29/22 01:49:58,0
10/29/22 01:50:58,0
10/29/22 01:51:58,3
10/29/22 01:52:58,5
10/29/22 01:53:58,-2
10/29/22 01:54:58,13
10/29/22 01:55:58,-7
10/29/22 01:56:58,-1
10/29/22 01:57:58,-1
10/29/22 01:58:58,0
10/29/22 01:59:58,6
10/29/22 02:00:58,-39
10/29/22 02:01:58,25
10/29/22 02:02:58,4
10/29/22 02:03:58,18
10/29/22 02:04:58,6
10/29/22 02:05:58,21
10/29/22 02:06:58,-6
10/29/22 02:07:58,6
10/29/22 02:08:58,17
10/29/22 02:09:59,-3
10/29/22 02:10:59,8
10/29/22 02:11:59,4
10/29/22 02:12:59,-2
10/29/22 02:13:59,15
10/29/22 02:14:59,-33
10/29/22 02:15:59,0
10/29/22 02:16:59,2
10/29/22 02:17:59,-26
10/29/22 02:18:59,26
10/29/22 02:19:59,13
10/29/22 02:20:59,-9
10/29/22 02:21:59,-1
10/29/22 02:22:59,7
10/29/22 02:23:59,0
10/29/22 02:24:59,-6
10/29/22 02:25:59,0
10/29/22 02:26:59,0
10/29/22 02:27:59,-2
10/29/22 02:29:00,0
10/29/22 02:30:00,-17
10/29/22 02:31:00,17
10/29/22 02:32:00,2
10/29/22 02:33:00,-4
10/29/22 02:34:00,-23
10/29/22 02:35:00,5
10/29/22 02:36:00,0
10/29/22 02:37:00,43
10/29/22 02:38:00,21
10/29/22 02:39:00,-11
10/29/22 02:40:00,-8
10/29/22 02:41:00,0
10/29/22 02:42:00,22
10/29/22 02:43:59,-13
10/29/22 02:44:59,5
10/29/22 02:45:59,10
10/29/22 02:46:59,-30
10/29/22 02:47:59,5
10/29/22 02:48:59,9
10/29/22 02:49:59,3
10/29/22 02:50:59,-16
10/29/22 02:51:59,2
10/29/22 02:52:59,0
10/29/22 02:53:59,-3
10/29/22 02:54:59,-8
10/29/22 02:55:59,-8
10/29/22 02:56:59,-6
10/29/22 02:57:59,-18
10/29/22 02:58:59,0
10/29/22 02:59:59,0
10/29/22 03:00:59,1
10/29/22 03:01:59,23
10/29/22 03:02:59,18
10/29/22 03:03:59,-8
10/29/22 03:04:59,4
10/29/22 03:05:59,-8
10/29/22 03:06:59,-56
10/29/22 03:07:59,8
10/29/22 03:08:59,-90
10/29/22 03:09:59,-39
10/29/22 03:10:59,-74
10/29/22 03:11:59,-4
10/29/22 03:12:59,-1
10/29/22 03:14:00,-4
10/29/22 03:15:00,1
10/29/22 03:16:00,-16
10/29/22 03:17:00,-9
10/29/22 03:18:00,6
10/29/22 03:19:00,-4
10/29/22 03:20:00,-13
10/29/22 03:21:00,-5
10/29/22 03:22:00,-17
10/29/22 03:23:00,-61
10/29/22 03:24:00,-8
10/29/22 03:25:00,-7
10/29/22 03:26:00,0
10/29/22 03:27:00,0
10/29/22 03:28:00,-1
10/29/22 03:29:00,-14
10/29/22 03:30:00,0
10/29/22 03:31:00,21
10/29/22 03:32:00,0
10/29/22 03:33:00,4
10/29/22 03:34:00,0
10/29/22 03:35:00,0
10/29/22 03:36:00,14
10/29/22 03:37:00,0
10/29/22 03:38:00,10
10/29/22 03:39:00,-34
10/29/22 03:40:00,34
10/29/22 03:41:00,2
10/29/22 03:42:00,0
10/29/22 03:43:59,0
10/29/22 03:44:59,0
10/29/22 03:45:59,4
10/29/22 03:46:59,-10
10/29/22 03:47:59,0
10/29/22 03:48:59,0
10/29/22 03:49:59,8
10/29/22 03:50:59,21
10/29/22 03:51:59,24
10/29/22 03:52:59,10
10/29/22 03:53:59,-9
10/29/22 03:54:59,-6
10/29/22 03:55:59,4
10/29/22 03:56:59,5
10/29/22 03:57:59,12
10/29/22 03:59:01,-9
10/29/22 04:00:01,0
10/29/22 04:01:01,0
10/29/22 04:02:01,13
10/29/22 04:03:01,-3
10/29/22 04:04:01,-16
10/29/22 04:05:01,-2
10/29/22 04:06:01,0
10/29/22 04:07:01,7
10/29/22 04:08:01,1
10/29/22 04:09:01,-1
10/29/22 04:10:01,0
10/29/22 04:11:01,4
10/29/22 04:12:01,5
10/29/22 04:13:01,-10
10/29/22 04:14:03,-5
10/29/22 04:15:03,0
10/29/22 04:16:03,-29
10/29/22 04:17:03,-8
10/29/22 04:18:03,12
10/29/22 04:19:03,-13
10/29/22 04:20:03,-57
10/29/22 04:21:03,-56
10/29/22 04:22:03,0
10/29/22 04:23:03,-4
10/29/22 04:24:03,10
10/29/22 04:25:03,-2
10/29/22 04:26:03,11
10/29/22 04:27:03,0
10/29/22 04:28:03,-4
10/29/22 04:29:03,-4
10/29/22 04:30:03,11
10/29/22 04:31:03,-14
10/29/22 04:32:03,0
10/29/22 04:33:03,-3
10/29/22 04:34:03,-8
10/29/22 04:35:03,2
10/29/22 04:36:03,0
10/29/22 04:37:03,0
10/29/22 04:38:03,47
10/29/22 04:39:03,-13
10/29/22 04:40:03,-9
10/29/22 04:41:03,6
10/29/22 04:42:03,1
10/29/22 04:43:03,0
10/29/22 04:44:03,0
10/29/22 04:45:03,13
10/29/22 04:46:03,0
10/29/22 04:47:03,-7
10/29/22 04:48:03,-17
10/29/22 04:49:03,0
10/29/22 04:50:03,-42
10/29/22 04:51:03,-5
10/29/22 04:52:03,41
10/29/22 04:53:03,-8
10/29/22 04:54:03,55
10/29/22 04:55:03,-40
10/29/22 04:56:03,2
10/29/22 04:57:03,-5
10/29/22 04:58:03,0
10/29/22 04:59:03,-8
10/29/22 05:00:03,4
10/29/22 05:01:03,-50
10/29/22 05:02:03,-4
10/29/22 05:03:03,-41
10/29/22 05:04:03,0
10/29/22 05:05:03,-30
10/29/22 05:06:03,0
10/29/22 05:07:03,0
10/29/22 05:08:03,2
10/29/22 05:09:03,-2
10/29/22 05:10:03,-2
10/29/22 05:11:03,4
10/29/22 05:12:03,-11
10/29/22 05:13:03,-28
10/29/22 05:14:03,-28
10/29/22 05:15:03,-11
10/29/22 05:16:03,13
10/29/22 05:17:03,2
10/29/22 05:18:03,0
10/29/22 05:19:03,-16
10/29/22 05:20:03,0
10/29/22 05:21:03,-3
10/29/22 05:22:03,2
10/29/22 05:23:03,-17
10/29/22 05:24:03,0
10/29/22 05:25:03,6
10/29/22 05:26:03,-18
10/29/22 05:27:03,0
10/29/22 05:28:03,0
10/29/22 05:29:03,0
10/29/22 05:30:03,-45
10/29/22 05:31:03,0
10/29/22 05:32:03,-2
10/29/22 05:33:03,0
10/29/22 05:34:03,-15
