timestamp,Infrared to Red Signal Ratio
10/21/22 01:16:01,2
10/21/22 01:17:01,-11
10/21/22 01:18:01,2
10/21/22 01:19:01,12
10/21/22 01:20:01,0
10/21/22 01:21:01,-7
10/21/22 01:22:01,26
10/21/22 01:23:01,-31
10/21/22 01:24:01,0
10/21/22 01:25:01,1
10/21/22 01:26:01,1
10/21/22 01:27:01,8
10/21/22 01:28:01,0
10/21/22 01:29:01,-2
10/21/22 01:30:00,-1
10/21/22 01:31:00,0
10/21/22 01:32:00,-1
10/21/22 01:33:00,0
10/21/22 01:34:00,7
10/21/22 01:35:00,4
10/21/22 01:36:00,21
10/21/22 01:37:00,21
10/21/22 01:38:00,3
10/21/22 01:39:00,17
10/21/22 01:40:00,-58
10/21/22 01:41:00,17
10/21/22 01:42:00,0
10/21/22 01:43:00,0
10/21/22 01:44:00,-5
10/21/22 01:45:02,2
10/21/22 01:46:02,0
10/21/22 01:47:02,-4
10/21/22 01:48:02,-5
10/21/22 01:49:02,0
10/21/22 01:50:02,0
10/21/22 01:51:02,0
10/21/22 01:52:02,5
10/21/22 01:53:02,0
10/21/22 01:54:02,0
10/21/22 01:55:02,6
10/21/22 01:56:02,-6
10/21/22 01:57:02,0
10/21/22 01:58:02,3
10/21/22 01:59:02,-24
10/21/22 02:00:02,-6
10/21/22 02:01:02,-18
10/21/22 02:02:02,-2
10/21/22 02:03:02,-1
10/21/22 02:04:02,34
10/21/22 02:05:02,8
10/21/22 02:06:02,1
10/21/22 02:07:02,-6
10/21/22 02:08:02,0
10/21/22 02:09:02,-5
10/21/22 02:10:02,5
10/21/22 02:11:02,12
10/21/22 02:12:02,18
10/21/22 02:13:02,4
10/21/22 02:14:02,21
10/21/22 02:15:02,0
10/21/22 02:16:02,19
10/21/22 02:17:02,0
10/21/22 02:18:02,12
10/21/22 02:19:02,-42
10/21/22 02:20:02,-34
10/21/22 02:21:02,-32
10/21/22 02:22:02,-34
10/21/22 02:23:02,-12
10/21/22 02:24:02,-7
10/21/22 02:25:02,-48
10/21/22 02:26:02,38
10/21/22 02:27:02,3
10/21/22 02:28:02,-6
10/21/22 02:29:02,-26
10/21/22 02:30:02,41
10/21/22 02:31:02,-8
10/21/22 02:32:02,46
10/21/22 02:33:02,53
10/21/22 02:34:02,21
10/21/22 02:35:02,-21
10/21/22 02:36:02,0
10/21/22 02:37:02,9
10/21/22 02:38:02,-42
10/21/22 02:39:02,32
10/21/22 02:40:02,-8
10/21/22 02:41:02,-17
10/21/22 02:42:02,3
10/21/22 02:43:02,-4
10/21/22 02:44:02,0
10/21/22 02:45:02,16
10/21/22 02:46:02,12
10/21/22 02:47:02,3
10/21/22 02:48:02,0
10/21/22 02:49:02,0
10/21/22 02:50:02,4
10/21/22 02:51:02,0
10/21/22 02:52:02,0
10/21/22 02:53:02,-17
10/21/22 02:54:02,-9
10/21/22 02:55:02,-9
10/21/22 02:56:02,0
10/21/22 02:57:02,0
10/21/22 02:58:02,0
10/21/22 02:59:02,-9
10/21/22 03:00:02,6
10/21/22 03:01:03,14
10/21/22 03:02:03,0
10/21/22 03:03:03,8
10/21/22 03:04:03,26
10/21/22 03:05:03,4
10/21/22 03:06:03,13
10/21/22 03:07:03,6
10/21/22 03:08:03,0
10/21/22 03:09:03,18
10/21/22 03:10:03,-16
10/21/22 03:11:03,0
10/21/22 03:12:03,0
10/21/22 03:13:03,3
10/21/22 03:14:03,-3
10/21/22 03:15:03,42
10/21/22 03:16:05,0
10/21/22 03:17:05,1
10/21/22 03:18:05,5
10/21/22 03:19:05,-17
10/21/22 03:20:05,4
10/21/22 03:21:05,27
10/21/22 03:22:05,78
10/21/22 03:23:05,0
10/21/22 03:24:05,29
10/21/22 03:25:05,-44
10/21/22 03:26:05,66
10/21/22 03:27:05,-30
10/21/22 03:28:05,-13
10/21/22 03:29:05,-19
10/21/22 03:30:05,4
10/21/22 03:31:05,9
10/21/22 03:32:05,0
10/21/22 03:33:05,0
10/21/22 03:34:05,31
10/21/22 03:35:05,0
10/21/22 03:36:05,0
10/21/22 03:37:05,18
10/21/22 03:38:05,-8
10/21/22 03:39:05,0
10/21/22 03:40:05,1
10/21/22 03:41:05,-49
10/21/22 03:42:05,6
10/21/22 03:43:05,0
10/21/22 03:44:05,9
10/21/22 03:45:05,0
10/21/22 03:46:05,-2
10/21/22 03:47:05,-1
10/21/22 03:48:05,0
10/21/22 03:49:05,-1
10/21/22 03:50:05,-12
10/21/22 03:51:05,-12
10/21/22 03:52:05,4
10/21/22 03:53:05,-37
10/21/22 03:54:05,-13
10/21/22 03:55:05,0
10/21/22 03:56:05,0
10/21/22 03:57:05,17
10/21/22 03:58:05,-33
10/21/22 03:59:05,-23
10/21/22 04:00:05,9
10/21/22 04:01:05,-6
10/21/22 04:02:05,-24
10/21/22 04:03:05,-17
10/21/22 04:04:05,0
10/21/22 04:05:05,13
10/21/22 04:06:06,0
10/21/22 04:07:06,14
10/21/22 04:08:06,-11
10/21/22 04:09:06,13
10/21/22 04:10:06,9
10/21/22 04:11:06,0
10/21/22 04:12:06,-28
10/21/22 04:13:06,-11
10/21/22 04:14:06,-26
10/21/22 04:15:06,-5
10/21/22 04:16:06,0
10/21/22 04:17:06,19
10/21/22 04:18:06,8
10/21/22 04:19:06,1
10/21/22 04:20:06,-5
10/21/22 04:21:09,39
10/21/22 04:22:09,-39
10/21/22 04:23:09,58
10/21/22 04:24:09,-28
10/21/22 04:25:09,0
10/21/22 04:26:09,1
10/21/22 04:27:09,5
10/21/22 04:28:09,-2
10/21/22 04:29:09,-15
