type,frequency,target,result,status,is_primary,start_date,end_date,created_on,edited_on
ACTIVE_ZONE_MINUTES_GOAL,DAILY,22.0,null,NEW,false,null,null,2022-10-18T23:24:14.148+00:00,null
ACTIVE_ZONE_MINUTES_GOAL,WEEKLY,150.0,null,NEW,false,null,null,2022-10-18T23:24:14.155+00:00,null
CALORIES_BURNED_GOAL,DAILY,2971.0,6.0,INPROGRESS_SO_FAR_MISSED,false,2023-04-21,2023-04-22,2022-10-18T18:15:40.000+00:00,null
STEPS_GOAL,DAILY,10000.0,0.0,INPROGRESS_SO_FAR_MISSED,false,2023-04-21,2023-04-22,2022-10-18T18:15:40.000+00:00,null
FLOORS_CLIMBED_GOAL,DAILY,10.0,0.0,INPROGRESS_SO_FAR_MISSED,false,2022-10-18,2022-10-19,2022-10-18T18:15:40.000+00:00,null
DISTANCE_FROM_STEPS_GOAL,DAILY,5.0,0.0,INPROGRESS_SO_FAR_MISSED,false,2023-04-21,2023-04-22,2022-10-18T18:15:40.000+00:00,null
ACTIVE_MINUTES_GOAL,DAILY,30.0,0.0,INPROGRESS_SO_FAR_MISSED,false,2023-04-21,2023-04-22,2022-10-18T18:15:40.000+00:00,null
STEPS_GOAL,WEEKLY,70000.0,31522.0,INPROGRESS_SO_FAR_MISSED,true,2023-04-16,2023-04-23,2022-10-18T18:15:40.000+00:00,null
DISTANCE_FROM_STEPS_GOAL,WEEKLY,35.0,13.7862,INPROGRESS_SO_FAR_MISSED,false,2023-04-16,2023-04-23,2022-10-18T18:15:40.000+00:00,null
FLOORS_CLIMBED_GOAL,WEEKLY,70.0,0.0,INPROGRESS_SO_FAR_MISSED,false,2022-10-16,2022-10-23,2022-10-18T18:15:40.000+00:00,null
CALORIES_BURNED_GOAL,WEEKLY,20797.0,14237.0,INPROGRESS_SO_FAR_MISSED,false,2023-04-16,2023-04-23,2022-10-18T18:15:40.000+00:00,null
WATER_GOAL,DAILY,1893.0,0.0,INPROGRESS_SO_FAR_MISSED,false,2022-10-16,2022-10-23,2022-10-18T18:15:40.000+00:00,null
