timestamp,Infrared to Red Signal Ratio
11/07/22 00:26:03,-17
11/07/22 00:27:03,0
11/07/22 00:28:03,0
11/07/22 00:29:03,21
11/07/22 00:30:03,-12
11/07/22 00:31:03,-34
11/07/22 00:32:03,23
11/07/22 00:33:03,-6
11/07/22 00:34:03,0
11/07/22 00:35:03,18
11/07/22 00:36:03,21
11/07/22 00:37:03,18
11/07/22 00:38:03,22
11/07/22 00:39:03,0
11/07/22 00:40:03,-32
11/07/22 00:41:04,5
11/07/22 00:42:04,65
11/07/22 00:43:04,-20
11/07/22 00:44:04,0
11/07/22 00:45:04,13
11/07/22 00:46:04,-20
11/07/22 00:47:04,0
11/07/22 00:48:04,21
11/07/22 00:49:04,0
11/07/22 00:50:04,-9
11/07/22 00:51:04,9
11/07/22 00:52:04,-20
11/07/22 00:53:04,9
11/07/22 00:54:04,0
11/07/22 00:55:04,10
11/07/22 00:56:04,30
11/07/22 00:57:04,-4
11/07/22 00:58:04,-7
11/07/22 00:59:04,0
11/07/22 01:00:04,0
11/07/22 01:01:04,0
11/07/22 01:02:04,23
11/07/22 01:03:04,1
11/07/22 01:04:04,4
11/07/22 01:05:04,-7
11/07/22 01:06:04,-4
11/07/22 01:07:04,-6
11/07/22 01:08:04,-3
11/07/22 01:09:04,-11
11/07/22 01:10:04,0
11/07/22 01:11:04,0
11/07/22 01:12:04,-1
11/07/22 01:13:04,-10
11/07/22 01:14:04,-4
11/07/22 01:15:04,-17
11/07/22 01:16:04,13
11/07/22 01:17:04,-12
11/07/22 01:18:04,0
11/07/22 01:19:04,0
11/07/22 01:20:04,37
11/07/22 01:21:04,-2
11/07/22 01:22:04,0
11/07/22 01:23:04,20
11/07/22 01:24:04,-7
11/07/22 01:25:04,-4
11/07/22 01:26:07,0
11/07/22 01:27:28,-73
11/07/22 01:28:28,31
11/07/22 01:29:28,2
11/07/22 01:30:28,-2
11/07/22 01:31:28,21
11/07/22 01:32:28,8
11/07/22 01:33:28,0
11/07/22 01:34:28,-7
11/07/22 01:35:28,4
11/07/22 01:36:28,0
11/07/22 01:37:28,37
11/07/22 01:38:28,4
11/07/22 01:39:28,0
11/07/22 01:40:28,0
11/07/22 01:41:28,23
11/07/22 01:42:28,4
11/07/22 01:43:28,30
11/07/22 01:44:28,11
11/07/22 01:45:28,3
11/07/22 01:46:28,4
11/07/22 01:47:28,3
11/07/22 01:48:28,25
11/07/22 01:49:28,17
11/07/22 01:50:28,13
11/07/22 01:51:28,0
11/07/22 01:52:28,0
11/07/22 01:53:28,15
11/07/22 01:54:28,5
11/07/22 01:55:28,7
11/07/22 01:56:29,0
11/07/22 01:57:29,-5
11/07/22 01:58:29,31
11/07/22 01:59:29,56
11/07/22 02:00:29,34
11/07/22 02:01:29,7
11/07/22 02:02:29,0
11/07/22 02:03:29,12
11/07/22 02:04:29,0
11/07/22 02:05:29,14
11/07/22 02:06:29,0
11/07/22 02:07:29,0
11/07/22 02:08:29,44
11/07/22 02:09:29,-7
11/07/22 02:10:29,0
11/07/22 02:11:29,0
11/07/22 02:12:29,4
11/07/22 02:13:29,4
11/07/22 02:14:29,11
11/07/22 02:15:29,26
11/07/22 02:16:29,0
11/07/22 02:17:29,1
11/07/22 02:18:29,24
