timestamp,Infrared to Red Signal Ratio
11/05/22 00:40:30,-20
11/05/22 00:41:30,0
11/05/22 00:42:30,-33
11/05/22 00:43:30,0
11/05/22 00:44:30,-30
11/05/22 00:45:30,0
11/05/22 00:46:30,0
11/05/22 00:47:30,-13
11/05/22 00:48:30,-13
11/05/22 00:49:30,2
11/05/22 00:50:30,12
11/05/22 00:51:30,0
11/05/22 00:52:30,1
11/05/22 00:53:30,-4
11/05/22 00:54:30,-7
11/05/22 00:55:31,-70
11/05/22 00:56:31,-3
11/05/22 00:57:31,0
11/05/22 00:58:31,0
11/05/22 00:59:31,0
11/05/22 01:00:31,-20
11/05/22 01:01:31,0
11/05/22 01:02:31,0
11/05/22 01:03:31,-5
11/05/22 01:04:31,-26
11/05/22 01:05:31,13
11/05/22 01:06:31,0
11/05/22 01:07:31,13
11/05/22 01:08:31,6
11/05/22 01:09:31,13
11/05/22 01:10:31,-3
11/05/22 03:32:31,-34
11/05/22 03:33:31,1
11/05/22 03:34:31,-2
11/05/22 03:35:31,-17
11/05/22 03:36:31,39
11/05/22 03:37:31,-8
11/05/22 03:38:31,-5
11/05/22 03:39:31,-2
11/05/22 03:40:31,0
11/05/22 03:41:31,2
11/05/22 03:42:31,-1
11/05/22 03:43:31,0
11/05/22 03:44:31,-42
11/05/22 03:45:31,-2
11/05/22 03:46:31,-4
11/05/22 03:47:32,8
11/05/22 03:48:32,4
11/05/22 03:49:32,-1
11/05/22 03:50:32,10
11/05/22 03:51:32,-5
11/05/22 03:52:32,-4
11/05/22 03:53:32,-4
11/05/22 03:54:32,-4
11/05/22 03:55:32,1
11/05/22 03:56:32,58
11/05/22 03:57:32,4
11/05/22 03:58:32,0
11/05/22 03:59:32,4
11/05/22 04:00:32,1
11/05/22 04:01:32,14
11/05/22 04:02:33,13
11/05/22 04:03:33,8
11/05/22 04:04:33,-81
11/05/22 04:05:33,0
11/05/22 04:06:33,0
11/05/22 04:07:33,0
11/05/22 04:08:33,3
11/05/22 04:09:33,-1
11/05/22 04:10:33,9
11/05/22 04:11:33,8
11/05/22 04:12:33,-69
11/05/22 04:13:33,0
11/05/22 04:14:33,-11
11/05/22 04:15:33,0
11/05/22 04:16:33,0
11/05/22 04:17:34,42
11/05/22 04:18:34,54
11/05/22 04:19:34,-21
11/05/22 04:20:34,-7
11/05/22 04:21:34,-11
11/05/22 04:22:34,30
11/05/22 04:23:34,-12
11/05/22 04:24:34,0
11/05/22 04:25:34,-3
11/05/22 04:26:34,-13
11/05/22 04:27:34,-92
11/05/22 04:28:34,63
11/05/22 04:29:34,34
11/05/22 04:30:34,0
11/05/22 04:31:34,-1
11/05/22 04:32:36,18
11/05/22 04:33:36,8
11/05/22 04:34:36,-36
11/05/22 04:35:36,39
11/05/22 04:36:36,3
11/05/22 04:37:36,0
11/05/22 04:38:36,0
11/05/22 04:39:36,0
11/05/22 04:40:36,7
11/05/22 04:41:36,1
11/05/22 04:42:36,0
11/05/22 04:43:36,13
11/05/22 04:44:36,0
11/05/22 04:45:36,0
11/05/22 04:46:36,0
11/05/22 04:47:36,37
11/05/22 04:48:38,0
11/05/22 04:49:38,26
11/05/22 04:50:38,0
11/05/22 04:51:38,0
11/05/22 04:52:38,-4
11/05/22 04:53:38,0
11/05/22 04:54:38,-30
11/05/22 04:55:38,-1
11/05/22 04:56:38,1
11/05/22 04:57:38,0
11/05/22 04:58:38,-7
11/05/22 04:59:38,-8
11/05/22 05:00:38,-1
11/05/22 05:01:38,0
11/05/22 05:02:38,0
11/05/22 05:03:40,8
11/05/22 05:04:40,0
11/05/22 05:05:40,7
11/05/22 05:06:40,9
11/05/22 05:07:40,26
11/05/22 05:08:40,25
11/05/22 05:09:40,13
11/05/22 05:10:40,17
11/05/22 05:11:40,36
11/05/22 05:12:40,24
11/05/22 05:13:40,0
11/05/22 05:14:40,0
11/05/22 05:15:40,3
