timestamp,Infrared to Red Signal Ratio
12/31/22 01:08:30,-13
12/31/22 01:09:30,0
12/31/22 01:10:30,-15
12/31/22 01:11:30,0
12/31/22 01:12:30,12
12/31/22 01:13:30,-29
12/31/22 01:14:30,-11
12/31/22 01:15:30,15
12/31/22 01:16:30,2
12/31/22 01:17:30,2
12/31/22 01:18:30,17
12/31/22 01:19:58,0
12/31/22 01:20:58,25
12/31/22 01:21:58,-7
12/31/22 01:22:58,-17
12/31/22 01:23:58,4
12/31/22 01:24:58,0
12/31/22 01:25:58,32
12/31/22 01:26:58,0
12/31/22 01:27:58,4
12/31/22 01:28:58,21
12/31/22 01:29:58,4
12/31/22 01:30:58,6
12/31/22 01:31:58,9
12/31/22 01:32:58,-8
12/31/22 01:33:58,-9
12/31/22 01:34:58,3
12/31/22 01:35:58,18
12/31/22 01:36:58,35
12/31/22 01:37:58,0
12/31/22 01:38:58,26
12/31/22 01:39:58,21
12/31/22 01:40:58,3
12/31/22 01:41:58,27
12/31/22 01:42:58,23
12/31/22 01:43:58,30
12/31/22 01:44:58,56
12/31/22 01:45:58,21
12/31/22 01:46:58,11
12/31/22 01:47:58,2
12/31/22 01:48:58,0
12/31/22 01:49:58,4
12/31/22 01:50:58,5
12/31/22 01:51:58,4
12/31/22 01:52:58,55
12/31/22 01:53:58,44
12/31/22 01:54:58,44
12/31/22 01:55:58,-4
12/31/22 01:56:58,14
12/31/22 01:57:58,-3
12/31/22 01:58:58,-10
12/31/22 01:59:58,2
12/31/22 02:00:58,8
12/31/22 02:01:58,0
12/31/22 02:02:58,2
12/31/22 02:03:58,9
12/31/22 02:04:58,59
12/31/22 02:05:58,-3
12/31/22 02:06:58,0
12/31/22 02:07:58,-25
12/31/22 02:08:58,7
12/31/22 02:09:58,-2
12/31/22 02:10:58,17
12/31/22 02:11:58,0
12/31/22 02:12:58,-1
12/31/22 02:13:58,-1
12/31/22 02:14:58,18
12/31/22 02:15:58,8
12/31/22 02:16:58,47
12/31/22 02:17:58,4
12/31/22 02:18:58,31
12/31/22 02:19:58,26
12/31/22 02:20:58,33
12/31/22 02:21:58,9
12/31/22 02:22:58,19
12/31/22 02:23:58,10
12/31/22 02:24:58,0
12/31/22 02:25:58,6
12/31/22 02:26:58,15
12/31/22 02:27:58,13
12/31/22 02:28:58,-14
12/31/22 02:29:58,0
12/31/22 02:30:58,8
12/31/22 02:31:58,-14
12/31/22 02:32:58,7
12/31/22 02:33:58,2
12/31/22 02:34:58,18
12/31/22 02:35:58,0
12/31/22 02:36:58,47
12/31/22 02:37:58,7
12/31/22 02:38:58,-7
12/31/22 02:39:58,4
12/31/22 02:40:58,0
12/31/22 02:41:58,0
12/31/22 02:42:58,0
12/31/22 02:43:58,-4
12/31/22 02:44:58,0
12/31/22 02:45:58,0
12/31/22 02:46:58,-2
12/31/22 02:47:58,8
12/31/22 02:48:58,-39
12/31/22 02:49:58,0
12/31/22 02:50:58,0
12/31/22 02:51:58,0
12/31/22 02:52:58,5
12/31/22 02:53:58,-4
12/31/22 02:54:58,-13
12/31/22 02:55:58,0
12/31/22 02:56:58,-7
12/31/22 02:57:58,-40
12/31/22 02:58:58,0
12/31/22 02:59:58,-1
12/31/22 03:00:58,3
12/31/22 03:01:58,-3
12/31/22 03:02:58,1
12/31/22 03:03:58,-15
12/31/22 03:04:58,-51
12/31/22 03:05:58,-2
12/31/22 03:06:58,0
12/31/22 03:07:58,-21
12/31/22 03:08:58,8
12/31/22 03:09:58,0
12/31/22 03:10:58,-4
12/31/22 03:11:58,-4
12/31/22 03:12:58,-8
12/31/22 03:13:58,-25
12/31/22 03:14:58,0
12/31/22 03:15:58,-4
12/31/22 03:16:58,2
12/31/22 03:17:58,0
12/31/22 03:18:58,-1
12/31/22 03:19:58,0
12/31/22 03:20:58,21
12/31/22 03:21:58,43
12/31/22 03:22:58,3
12/31/22 03:23:58,-1
12/31/22 03:24:58,32
12/31/22 03:25:58,-60
12/31/22 03:26:58,0
12/31/22 03:27:58,-3
12/31/22 03:28:58,17
12/31/22 03:29:58,1
12/31/22 03:30:58,21
12/31/22 03:31:58,-43
12/31/22 03:32:58,17
12/31/22 03:33:58,-1
12/31/22 03:34:58,24
12/31/22 03:35:58,-13
12/31/22 03:36:58,0
12/31/22 03:37:58,23
12/31/22 03:38:58,-19
12/31/22 03:39:58,-4
12/31/22 03:40:58,-11
12/31/22 03:41:58,-42
12/31/22 03:42:58,1
12/31/22 03:43:58,0
12/31/22 03:44:58,-32
12/31/22 03:45:58,-5
12/31/22 03:46:58,-45
12/31/22 03:47:58,-35
12/31/22 03:48:58,-2
12/31/22 03:49:58,-51
12/31/22 03:50:58,-23
12/31/22 03:51:58,13
12/31/22 03:52:58,-21
12/31/22 03:53:58,-4
12/31/22 03:54:58,22
12/31/22 03:55:58,2
12/31/22 03:56:58,38
12/31/22 03:57:58,-2
12/31/22 03:58:58,7
12/31/22 03:59:58,21
12/31/22 04:00:58,21
12/31/22 04:01:58,0
12/31/22 04:02:58,1
12/31/22 04:03:58,-4
12/31/22 04:04:58,0
12/31/22 04:05:58,2
12/31/22 04:06:58,-16
12/31/22 04:07:58,13
12/31/22 04:08:58,1
12/31/22 04:09:58,85
12/31/22 04:10:58,0
12/31/22 04:11:58,6
12/31/22 04:12:58,4
12/31/22 04:13:58,41
12/31/22 04:14:58,43
12/31/22 04:15:58,2
12/31/22 04:16:58,18
12/31/22 04:17:58,16
12/31/22 04:18:58,0
12/31/22 04:19:58,2
12/31/22 04:20:58,19
12/31/22 04:21:58,-10
12/31/22 04:22:58,-17
12/31/22 04:23:58,-56
12/31/22 04:24:58,26
12/31/22 04:25:58,12
12/31/22 04:26:58,41
12/31/22 04:27:58,0
12/31/22 04:28:58,21
12/31/22 04:29:58,0
12/31/22 04:30:58,41
12/31/22 04:31:58,10
12/31/22 04:32:58,0
12/31/22 04:33:58,31
12/31/22 04:34:58,58
12/31/22 04:35:58,8
12/31/22 04:36:58,1
12/31/22 04:37:58,15
12/31/22 04:38:58,-1
12/31/22 04:39:58,14
12/31/22 04:40:58,18
12/31/22 04:41:58,15
12/31/22 04:42:58,32
12/31/22 04:43:58,57
12/31/22 04:44:58,53
12/31/22 04:45:58,50
12/31/22 04:46:58,31
12/31/22 04:47:58,5
12/31/22 04:48:58,0
12/31/22 04:49:58,3
12/31/22 04:50:58,44
12/31/22 04:51:58,52
12/31/22 04:52:58,8
12/31/22 04:53:58,-2
12/31/22 04:54:58,0
12/31/22 04:55:58,18
12/31/22 04:56:58,13
12/31/22 04:57:58,6
12/31/22 04:58:58,4
12/31/22 04:59:58,9
12/31/22 05:00:58,-6
12/31/22 05:01:58,-8
12/31/22 05:02:58,24
12/31/22 05:03:58,2
12/31/22 05:04:58,46
12/31/22 05:05:58,0
12/31/22 05:06:58,47
12/31/22 05:07:58,24
12/31/22 05:08:58,10
12/31/22 05:09:58,49
12/31/22 05:10:58,11
12/31/22 05:11:58,-2
12/31/22 05:12:58,36
12/31/22 05:13:58,14
12/31/22 05:14:58,41
12/31/22 05:15:58,8
12/31/22 05:16:58,-4
12/31/22 05:17:58,25
12/31/22 05:18:58,35
12/31/22 05:19:58,0
12/31/22 05:20:58,4
12/31/22 05:21:58,-12
12/31/22 05:22:58,-29
12/31/22 05:23:58,-1
12/31/22 05:24:58,-2
12/31/22 05:25:58,47
12/31/22 05:26:58,23
12/31/22 05:27:58,7
12/31/22 05:28:58,5
12/31/22 05:29:58,1
12/31/22 05:30:58,-34
12/31/22 05:31:58,45
12/31/22 05:32:58,-69
12/31/22 05:33:58,-59
12/31/22 05:34:58,-70
12/31/22 05:35:58,33
12/31/22 05:36:58,-30
12/31/22 05:37:58,8
12/31/22 05:38:58,0
12/31/22 05:39:58,4
12/31/22 05:40:58,46
12/31/22 05:41:58,0
12/31/22 05:42:58,0
12/31/22 05:43:58,7
12/31/22 05:44:58,0
12/31/22 05:45:58,0
12/31/22 05:46:58,-5
12/31/22 05:47:58,19
12/31/22 05:48:58,8
12/31/22 05:49:58,39
12/31/22 05:50:58,21
12/31/22 05:51:58,4
12/31/22 05:52:58,2
12/31/22 05:53:58,-21
12/31/22 05:54:58,26
12/31/22 05:55:58,48
12/31/22 05:56:58,34
12/31/22 05:57:58,46
12/31/22 05:58:58,2
12/31/22 05:59:58,4
12/31/22 06:00:58,7
12/31/22 06:01:58,52
12/31/22 06:02:58,19
12/31/22 06:03:58,-19
12/31/22 06:04:58,0
12/31/22 06:05:58,-17
12/31/22 06:06:58,-30
12/31/22 06:07:58,-4
12/31/22 06:08:58,-33
12/31/22 06:09:58,0
12/31/22 06:10:58,-17
12/31/22 06:11:58,8
12/31/22 06:12:58,5
12/31/22 06:13:58,0
12/31/22 06:14:58,1
12/31/22 06:15:58,0
12/31/22 06:16:58,0
12/31/22 06:17:58,71
12/31/22 06:18:58,-5
12/31/22 06:19:58,21
12/31/22 06:20:58,2
12/31/22 06:21:58,4
12/31/22 06:22:58,28
12/31/22 06:23:58,30
12/31/22 06:24:58,14
12/31/22 06:25:58,0
12/31/22 06:26:58,4
12/31/22 06:27:58,52
12/31/22 06:28:58,0
12/31/22 06:29:58,4
12/31/22 06:30:58,0
12/31/22 06:31:58,20
12/31/22 06:32:58,4
12/31/22 06:33:58,0
12/31/22 06:34:58,12
12/31/22 06:35:58,27
12/31/22 06:36:58,8
12/31/22 06:37:58,14
12/31/22 06:38:58,52
12/31/22 06:39:58,-7
12/31/22 06:40:58,37
12/31/22 06:41:58,0
12/31/22 06:42:58,37
12/31/22 06:43:58,7
12/31/22 06:44:58,-2
12/31/22 06:45:58,0
12/31/22 06:46:58,0
12/31/22 06:47:58,0
12/31/22 06:48:58,0
12/31/22 06:49:58,0
12/31/22 06:50:58,0
12/31/22 06:51:58,0
12/31/22 06:52:58,0
12/31/22 06:53:58,0
12/31/22 06:54:58,0
12/31/22 06:55:58,0
12/31/22 06:56:58,0
12/31/22 06:57:58,-47
12/31/22 06:58:58,0
12/31/22 06:59:58,0
12/31/22 07:00:58,37
12/31/22 07:01:58,21
12/31/22 07:02:58,22
12/31/22 07:03:58,-17
12/31/22 07:04:58,58
12/31/22 07:05:58,11
12/31/22 07:06:58,26
12/31/22 07:07:58,1
12/31/22 07:08:58,21
12/31/22 07:09:58,16
12/31/22 07:10:58,0
12/31/22 07:11:58,0
12/31/22 07:12:58,0
12/31/22 07:13:58,0
12/31/22 07:14:58,0
12/31/22 07:15:58,0
12/31/22 07:16:58,0
12/31/22 07:17:58,0
12/31/22 07:18:58,0
12/31/22 07:19:58,0
12/31/22 07:20:58,0
12/31/22 07:21:58,6
12/31/22 07:22:58,8
12/31/22 07:23:58,0
12/31/22 07:24:58,0
12/31/22 07:25:58,-4
12/31/22 07:26:58,-4
12/31/22 07:27:58,8
12/31/22 07:28:58,-1
12/31/22 07:29:58,-9
12/31/22 07:30:58,-22
12/31/22 07:31:58,-1
12/31/22 07:32:58,12
12/31/22 07:33:58,-44
12/31/22 07:34:58,-26
12/31/22 07:35:58,-4
12/31/22 07:36:58,0
12/31/22 07:37:58,-7
12/31/22 07:38:58,-2
12/31/22 07:39:58,32
12/31/22 07:40:58,0
12/31/22 07:41:58,0
12/31/22 07:42:58,-8
12/31/22 07:43:58,-2
12/31/22 07:44:58,-26
12/31/22 07:45:58,15
12/31/22 07:46:58,0
12/31/22 07:47:58,-30
12/31/22 07:48:58,2
12/31/22 07:49:58,-1
12/31/22 07:50:58,-6
12/31/22 07:51:58,-35
12/31/22 07:52:58,-11
12/31/22 07:53:58,-4
12/31/22 07:54:58,0
12/31/22 07:55:58,-6
12/31/22 07:56:58,0
12/31/22 07:57:58,-39
12/31/22 07:58:58,-23
12/31/22 07:59:58,-52
12/31/22 08:00:58,16
12/31/22 08:01:58,-43
12/31/22 08:02:58,0
12/31/22 08:03:58,-13
12/31/22 08:04:58,-35
12/31/22 08:05:58,0
12/31/22 08:06:58,-3
12/31/22 08:07:58,4
12/31/22 08:08:58,-11
12/31/22 08:09:58,0
12/31/22 08:10:58,0
12/31/22 08:11:58,50
12/31/22 08:12:58,-12
12/31/22 08:13:58,36
12/31/22 08:14:58,-15
12/31/22 08:15:58,-21
12/31/22 08:16:58,1
12/31/22 08:17:58,0
12/31/22 08:18:58,9
12/31/22 08:19:58,23
12/31/22 08:20:58,-15
