timestamp,Infrared to Red Signal Ratio
11/21/22 01:39:30,0
11/21/22 01:40:30,48
11/21/22 01:41:30,-52
11/21/22 01:42:30,-3
11/21/22 01:43:30,17
11/21/22 01:44:30,0
11/21/22 01:45:34,0
11/21/22 01:46:34,39
11/21/22 01:47:34,7
11/21/22 01:48:34,0
11/21/22 01:49:34,1
11/21/22 01:50:34,11
11/21/22 01:51:34,4
11/21/22 01:52:34,24
11/21/22 01:53:34,-6
11/21/22 01:54:34,-6
11/21/22 01:55:34,-3
11/21/22 01:56:34,-6
11/21/22 01:57:34,0
11/21/22 01:58:34,21
11/21/22 01:59:34,-24
11/21/22 02:00:39,-10
11/21/22 02:01:39,0
11/21/22 02:02:39,13
11/21/22 02:03:39,-2
11/21/22 02:04:39,4
11/21/22 02:05:39,0
11/21/22 02:06:39,-7
11/21/22 02:07:39,16
11/21/22 02:08:39,-13
11/21/22 02:09:39,5
11/21/22 02:10:39,4
11/21/22 02:11:39,-3
11/21/22 02:12:39,54
11/21/22 02:13:39,-7
11/21/22 02:14:39,-11
11/21/22 02:15:42,0
11/21/22 02:16:42,-7
11/21/22 02:17:42,2
11/21/22 02:18:42,0
11/21/22 02:19:42,0
11/21/22 02:20:42,-1
11/21/22 02:21:42,-1
11/21/22 02:22:42,-42
11/21/22 02:23:42,34
11/21/22 02:24:42,0
11/21/22 02:25:42,-3
11/21/22 02:26:42,13
11/21/22 02:27:42,0
11/21/22 02:28:42,0
11/21/22 02:29:42,11
11/21/22 02:30:46,-69
11/21/22 02:31:46,1
11/21/22 02:32:46,0
11/21/22 02:33:46,7
11/21/22 02:34:46,-4
11/21/22 02:35:46,45
11/21/22 02:36:46,3
11/21/22 02:37:46,-2
11/21/22 02:38:46,41
11/21/22 02:39:46,8
11/21/22 02:40:46,-5
11/21/22 02:41:46,-1
11/21/22 02:42:46,23
11/21/22 02:43:46,0
11/21/22 02:44:46,0
11/21/22 02:45:49,-20
11/21/22 02:46:49,23
11/21/22 02:47:49,0
11/21/22 02:48:49,-14
11/21/22 02:49:49,0
11/21/22 02:50:49,16
11/21/22 02:51:49,8
11/21/22 02:52:49,9
11/21/22 02:53:49,-45
11/21/22 02:54:49,2
11/21/22 02:55:49,0
11/21/22 02:56:49,6
11/21/22 02:57:49,-22
11/21/22 02:58:49,-6
11/21/22 02:59:49,0
11/21/22 03:00:49,-3
11/21/22 03:01:49,-8
11/21/22 03:02:49,-21
11/21/22 03:03:49,-43
11/21/22 03:04:49,-28
11/21/22 03:05:49,-27
11/21/22 03:06:49,-21
11/21/22 03:07:49,-31
11/21/22 03:08:49,0
11/21/22 03:09:49,16
11/21/22 03:10:49,-8
11/21/22 03:11:49,-6
11/21/22 03:12:49,-29
11/21/22 03:13:49,-19
11/21/22 03:14:49,-13
11/21/22 03:15:49,-51
11/21/22 03:16:49,-8
11/21/22 03:17:49,57
11/21/22 03:18:49,-74
11/21/22 03:19:49,8
11/21/22 03:20:49,0
11/21/22 03:21:49,0
11/21/22 03:22:49,-18
11/21/22 03:23:49,0
11/21/22 03:24:49,-2
11/21/22 03:25:49,-1
11/21/22 03:26:49,7
11/21/22 03:27:49,24
11/21/22 03:28:49,11
11/21/22 03:29:49,0
11/21/22 03:30:51,0
11/21/22 03:31:51,-74
11/21/22 03:32:51,0
11/21/22 03:33:51,0
11/21/22 03:34:51,5
11/21/22 03:35:51,0
11/21/22 03:36:51,0
11/21/22 03:37:51,38
11/21/22 03:38:51,10
11/21/22 03:39:51,-1
11/21/22 03:40:51,1
11/21/22 03:41:51,-35
11/21/22 03:42:51,-13
11/21/22 03:43:51,0
11/21/22 03:44:51,12
11/21/22 03:45:51,0
11/21/22 03:46:51,5
11/21/22 03:47:51,0
11/21/22 03:48:51,0
11/21/22 03:49:51,-8
11/21/22 03:50:51,10
11/21/22 03:51:51,-8
11/21/22 03:52:51,-16
11/21/22 03:53:51,-43
11/21/22 03:54:51,-4
11/21/22 03:55:51,0
11/21/22 03:56:51,47
11/21/22 03:57:51,28
11/21/22 03:58:51,-41
11/21/22 03:59:51,2
11/21/22 04:00:51,-62
11/21/22 04:01:51,-51
11/21/22 04:02:51,-7
11/21/22 04:03:51,-21
11/21/22 04:04:51,0
11/21/22 04:05:51,3
11/21/22 04:06:51,-6
11/21/22 04:07:51,3
11/21/22 04:08:51,-13
11/21/22 04:09:51,-2
11/21/22 04:10:51,-3
11/21/22 04:11:51,-2
11/21/22 04:12:51,-4
11/21/22 04:13:51,-11
11/21/22 04:14:51,16
11/21/22 04:15:51,-63
11/21/22 04:16:51,17
11/21/22 04:17:51,2
11/21/22 04:18:51,11
11/21/22 04:19:51,-39
11/21/22 04:20:51,-1
11/21/22 04:21:51,0
11/21/22 04:22:51,-4
11/21/22 04:23:51,-17
11/21/22 04:24:51,-10
11/21/22 04:25:51,-5
11/21/22 04:26:51,-4
11/21/22 04:27:51,0
11/21/22 04:28:51,-3
11/21/22 04:29:51,0
11/21/22 04:30:51,-4
11/21/22 04:31:51,18
11/21/22 04:32:51,-39
11/21/22 04:33:51,-17
11/21/22 04:34:51,-8
11/21/22 04:35:51,0
11/21/22 04:36:51,-2
11/21/22 04:37:51,9
11/21/22 04:38:51,0
11/21/22 04:39:51,-5
11/21/22 04:40:51,-3
11/21/22 04:41:51,3
11/21/22 04:42:51,3
11/21/22 04:43:51,-1
11/21/22 04:44:51,0
11/21/22 04:45:51,-1
11/21/22 04:46:51,3
11/21/22 04:47:51,-1
11/21/22 04:48:51,14
11/21/22 04:49:51,4
11/21/22 04:50:51,0
11/21/22 04:51:51,-48
11/21/22 04:52:51,-49
11/21/22 04:53:51,0
11/21/22 04:54:51,0
11/21/22 04:55:51,16
11/21/22 04:56:51,1
11/21/22 04:57:51,-2
11/21/22 04:58:51,4
11/21/22 04:59:51,17
11/21/22 05:00:51,4
11/21/22 05:01:51,-4
11/21/22 05:02:51,24
11/21/22 05:03:51,4
11/21/22 05:04:51,8
11/21/22 05:05:51,-25
11/21/22 05:06:51,0
11/21/22 05:07:51,-5
11/21/22 05:08:51,-42
11/21/22 05:09:51,2
11/21/22 05:10:51,-8
11/21/22 05:11:51,0
11/21/22 05:12:51,-10
11/21/22 05:13:51,-1
11/21/22 05:14:51,15
11/21/22 05:15:51,-1
11/21/22 05:16:51,-36
11/21/22 05:17:51,15
11/21/22 05:18:51,13
11/21/22 05:19:51,-13
11/21/22 05:20:51,-73
11/21/22 05:21:51,-10
11/21/22 05:22:51,-2
11/21/22 05:23:51,-68
11/21/22 05:24:51,32
11/21/22 05:25:51,11
11/21/22 05:26:51,51
11/21/22 05:27:51,6
11/21/22 05:28:51,0
11/21/22 05:29:51,-93
11/21/22 05:30:51,0
11/21/22 05:31:51,40
11/21/22 05:32:51,2
11/21/22 05:33:51,-6
11/21/22 05:34:51,0
11/21/22 05:35:51,0
11/21/22 05:36:51,-15
11/21/22 05:37:51,0
11/21/22 05:38:51,-2
11/21/22 05:39:51,0
11/21/22 05:40:51,10
11/21/22 05:41:51,38
11/21/22 05:42:51,26
11/21/22 05:43:51,0
11/21/22 05:44:51,0
11/21/22 05:45:51,0
11/21/22 05:46:51,0
11/21/22 05:47:51,0
11/21/22 05:48:51,0
11/21/22 05:49:51,41
11/21/22 05:50:51,-86
11/21/22 05:51:51,-3
11/21/22 05:52:51,0
11/21/22 05:53:51,-7
11/21/22 05:54:51,43
11/21/22 05:55:51,32
11/21/22 05:56:51,11
11/21/22 05:57:51,0
11/21/22 05:58:51,4
