timestamp,bucket_values
2022-11-14T10:13:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.002, 0.002, 0.002, 0.005, 0.007, 0.049, 0.156, 0.216, 0.203, 0.145, 0.09, 0.056, 0.04, 0.018, 0.006, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2022-11-15T08:08:00,"[0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.001, 0.002, 0.002, 0.005, 0.013, 0.033, 0.068, 0.088, 0.099, 0.099, 0.089, 0.075, 0.076, 0.08, 0.091, 0.081, 0.053, 0.027, 0.008, 0.003, 0.001, 0.0, 0.0]"
2022-11-16T09:17:00,"[0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.002, 0.003, 0.001, 0.003, 0.004, 0.007, 0.016, 0.032, 0.075, 0.138, 0.175, 0.185, 0.12, 0.09, 0.077, 0.051, 0.014, 0.005, 0.001, 0.0, 0.0, 0.0, 0.0]"
2022-11-17T09:56:00,"[0.0, 0.0, 0.0, 0.0, 0.002, 0.006, 0.004, 0.002, 0.005, 0.008, 0.036, 0.119, 0.194, 0.192, 0.154, 0.112, 0.068, 0.044, 0.033, 0.015, 0.004, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2022-11-18T09:33:00,"[0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.001, 0.0, 0.001, 0.003, 0.006, 0.016, 0.036, 0.076, 0.11, 0.133, 0.123, 0.104, 0.107, 0.117, 0.09, 0.047, 0.02, 0.006, 0.002, 0.0, 0.0, 0.0, 0.0]"
2022-11-19T06:55:30,"[0.0, 0.0, 0.0, 0.0, 0.001, 0.004, 0.002, 0.002, 0.004, 0.014, 0.045, 0.09, 0.119, 0.132, 0.121, 0.108, 0.078, 0.055, 0.052, 0.055, 0.056, 0.036, 0.016, 0.005, 0.001, 0.0, 0.0, 0.0, 0.0]"
2022-11-20T08:49:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.014, 0.045, 0.109, 0.172, 0.186, 0.169, 0.13, 0.086, 0.042, 0.028, 0.011, 0.003, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2022-11-21T04:42:30,"[0.0, 0.0, 0.0, 0.0, 0.002, 0.003, 0.004, 0.003, 0.009, 0.025, 0.119, 0.232, 0.228, 0.167, 0.088, 0.05, 0.037, 0.021, 0.007, 0.002, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2022-11-22T10:08:30,"[0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.0, 0.0, 0.001, 0.001, 0.002, 0.003, 0.012, 0.035, 0.069, 0.088, 0.111, 0.15, 0.122, 0.108, 0.11, 0.091, 0.059, 0.022, 0.007, 0.003, 0.001, 0.0, 0.0]"
2022-11-23T08:24:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.003, 0.0, 0.001, 0.002, 0.004, 0.012, 0.02, 0.031, 0.056, 0.097, 0.126, 0.164, 0.184, 0.151, 0.088, 0.038, 0.015, 0.005, 0.001, 0.0, 0.0, 0.0]"
2022-11-24T09:56:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.002, 0.004, 0.011, 0.028, 0.06, 0.091, 0.126, 0.142, 0.138, 0.1, 0.102, 0.088, 0.063, 0.03, 0.009, 0.004, 0.001, 0.0, 0.0, 0.0]"
2022-11-25T09:34:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.003, 0.001, 0.002, 0.002, 0.003, 0.013, 0.039, 0.093, 0.143, 0.172, 0.17, 0.137, 0.089, 0.061, 0.04, 0.018, 0.009, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0]"
