timestamp,Infrared to Red Signal Ratio
04/15/23 20:46:00,-15
04/15/23 20:47:00,-12
04/15/23 20:48:00,0
04/15/23 20:49:00,0
04/15/23 20:50:00,4
04/15/23 20:51:00,8
04/15/23 20:52:00,36
04/15/23 20:53:00,-21
04/15/23 20:54:00,-3
04/15/23 20:55:00,2
04/15/23 20:56:02,0
04/15/23 20:57:02,1
04/15/23 20:58:02,-2
04/15/23 20:59:02,-37
04/15/23 21:00:02,0
04/15/23 21:01:02,-5
04/15/23 21:02:02,0
04/15/23 21:03:02,0
04/15/23 21:04:02,4
04/15/23 21:05:02,0
04/15/23 21:06:02,-4
04/15/23 21:07:02,2
04/15/23 21:08:02,0
04/15/23 21:09:02,13
04/15/23 21:10:02,0
04/15/23 21:11:03,8
04/15/23 21:12:03,10
04/15/23 21:13:03,-3
04/15/23 21:14:03,1
04/15/23 21:15:03,-1
04/15/23 21:16:03,0
