type,frequency,target,result,status,is_primary,start_date,end_date,created_on,edited_on
ACTIVE_ZONE_MINUTES_GOAL,DAILY,22.0,null,NEW,false,null,null,2022-10-19T02:54:32.880+00:00,null
ACTIVE_ZONE_MINUTES_GOAL,WEEKLY,150.0,null,NEW,false,null,null,2022-10-19T02:54:32.998+00:00,null
CALORIES_BURNED_GOAL,DAILY,2826.0,22.0,INPROGRESS_SO_FAR_MISSED,false,2022-11-24,2022-11-25,2022-10-18T19:34:06.000+00:00,null
STEPS_GOAL,DAILY,10000.0,0.0,INPROGRESS_SO_FAR_MISSED,false,2022-11-24,2022-11-25,2022-10-18T19:34:06.000+00:00,null
FLOORS_CLIMBED_GOAL,DAILY,10.0,0.0,INPROGRESS_SO_FAR_MISSED,false,2022-10-18,2022-10-19,2022-10-18T19:34:06.000+00:00,null
DISTANCE_FROM_STEPS_GOAL,DAILY,5.0,0.0,INPROGRESS_SO_FAR_MISSED,false,2022-11-24,2022-11-25,2022-10-18T19:34:06.000+00:00,null
ACTIVE_MINUTES_GOAL,DAILY,30.0,0.0,INPROGRESS_SO_FAR_MISSED,false,2022-11-24,2022-11-25,2022-10-18T19:34:06.000+00:00,null
STEPS_GOAL,WEEKLY,70000.0,26184.0,INPROGRESS_SO_FAR_MISSED,true,2022-11-20,2022-11-27,2022-10-18T19:34:06.000+00:00,null
DISTANCE_FROM_STEPS_GOAL,WEEKLY,35.0,10.9301,INPROGRESS_SO_FAR_MISSED,false,2022-11-20,2022-11-27,2022-10-18T19:34:06.000+00:00,null
FLOORS_CLIMBED_GOAL,WEEKLY,70.0,0.0,INPROGRESS_SO_FAR_MISSED,false,2022-10-16,2022-10-23,2022-10-18T19:34:06.000+00:00,null
CALORIES_BURNED_GOAL,WEEKLY,19782.0,10887.0,INPROGRESS_SO_FAR_MISSED,false,2022-11-20,2022-11-27,2022-10-18T19:34:06.000+00:00,null
WATER_GOAL,DAILY,1893.0,2602.0,COMPLETED_ACHIEVED,false,2022-10-16,2022-10-23,2022-10-18T19:34:06.000+00:00,null
