type,frequency,target,result,status,is_primary,start_date,end_date,created_on,edited_on
ACTIVE_ZONE_MINUTES_GOAL,DAILY,22.0,null,NEW,false,null,null,2022-11-08T05:53:58.941+00:00,null
ACTIVE_ZONE_MINUTES_GOAL,WEEKLY,150.0,null,NEW,false,null,null,2022-11-08T05:53:58.932+00:00,null
CALORIES_BURNED_GOAL,DAILY,2814.0,656.0,INPROGRESS_SO_FAR_MISSED,false,2023-02-17,2023-02-18,2022-10-28T15:44:21.000+00:00,null
STEPS_GOAL,DAILY,10000.0,0.0,INPROGRESS_SO_FAR_MISSED,false,2023-02-17,2023-02-18,2022-10-28T15:44:21.000+00:00,null
FLOORS_CLIMBED_GOAL,DAILY,10.0,0.0,INPROGRESS_SO_FAR_MISSED,false,2022-10-28,2022-10-29,2022-10-28T15:44:21.000+00:00,null
DISTANCE_FROM_STEPS_GOAL,DAILY,5.0,0.0,INPROGRESS_SO_FAR_MISSED,false,2023-02-17,2023-02-18,2022-10-28T15:44:21.000+00:00,null
ACTIVE_MINUTES_GOAL,DAILY,30.0,0.0,INPROGRESS_SO_FAR_MISSED,false,2023-02-17,2023-02-18,2022-10-28T15:44:21.000+00:00,null
STEPS_GOAL,WEEKLY,70000.0,28501.0,INPROGRESS_SO_FAR_MISSED,true,2023-02-12,2023-02-19,2022-10-28T15:44:21.000+00:00,null
DISTANCE_FROM_STEPS_GOAL,WEEKLY,35.0,12.6759,INPROGRESS_SO_FAR_MISSED,false,2023-02-12,2023-02-19,2022-10-28T15:44:21.000+00:00,null
FLOORS_CLIMBED_GOAL,WEEKLY,70.0,0.0,INPROGRESS_SO_FAR_MISSED,false,2022-10-23,2022-10-30,2022-10-28T15:44:21.000+00:00,null
CALORIES_BURNED_GOAL,WEEKLY,19698.0,12120.0,INPROGRESS_SO_FAR_MISSED,false,2023-02-12,2023-02-19,2022-10-28T15:44:21.000+00:00,null
WATER_GOAL,DAILY,1893.0,400.0,INPROGRESS_SO_FAR_MISSED,false,2023-01-09,2023-01-10,2022-10-28T15:44:21.000+00:00,null
