timestamp,Infrared to Red Signal Ratio
11/28/22 06:20:30,3
11/28/22 06:21:30,-9
11/28/22 06:22:30,-11
11/28/22 06:23:30,13
11/28/22 06:24:30,2
11/28/22 06:25:30,-5
11/28/22 06:26:30,4
11/28/22 06:27:30,-4
11/28/22 06:28:30,-3
11/28/22 06:29:30,2
11/28/22 06:30:30,0
11/28/22 06:31:30,4
11/28/22 06:32:32,0
11/28/22 06:33:32,-11
11/28/22 06:34:32,-1
11/28/22 06:35:32,-5
11/28/22 06:36:32,-8
11/28/22 06:37:32,0
11/28/22 06:38:32,0
11/28/22 06:39:32,0
11/28/22 06:40:32,-1
11/28/22 06:41:32,-17
11/28/22 06:42:32,-20
11/28/22 06:43:32,0
11/28/22 06:44:32,-8
11/28/22 06:45:32,-3
11/28/22 06:46:32,4
11/28/22 06:47:34,0
11/28/22 06:48:34,0
11/28/22 06:49:34,0
11/28/22 06:50:34,-37
11/28/22 06:51:34,4
11/28/22 06:52:34,-2
11/28/22 06:53:34,36
11/28/22 06:54:34,-9
11/28/22 06:55:34,-26
11/28/22 06:56:34,-78
11/28/22 06:57:34,-1
11/28/22 06:58:34,-39
11/28/22 06:59:34,0
11/28/22 07:00:34,-55
11/28/22 07:01:34,-10
11/28/22 07:02:35,-67
11/28/22 07:03:35,0
11/28/22 07:04:35,-8
11/28/22 07:05:35,-6
11/28/22 07:06:35,20
11/28/22 07:07:35,21
11/28/22 07:08:35,10
11/28/22 07:09:35,0
11/28/22 07:10:35,-1
11/28/22 07:11:35,-1
11/28/22 07:12:35,-7
11/28/22 07:13:35,-56
11/28/22 07:14:35,-2
11/28/22 07:15:35,-17
11/28/22 07:16:35,0
11/28/22 07:17:36,4
11/28/22 07:18:36,0
11/28/22 07:19:36,0
11/28/22 07:20:36,0
11/28/22 07:21:36,0
11/28/22 07:22:36,0
11/28/22 07:23:36,-54
11/28/22 07:24:36,16
11/28/22 07:25:36,-3
11/28/22 07:26:36,-47
11/28/22 07:27:36,0
11/28/22 07:28:36,-14
11/28/22 07:29:36,0
11/28/22 07:30:36,26
11/28/22 07:31:36,13
11/28/22 07:32:38,-3
11/28/22 07:33:38,1
11/28/22 07:34:38,0
11/28/22 07:35:38,-13
11/28/22 07:36:38,-1
11/28/22 07:37:38,0
11/28/22 07:38:38,15
11/28/22 07:39:38,30
11/28/22 07:40:38,2
11/28/22 07:41:38,31
11/28/22 07:42:38,13
11/28/22 07:43:38,7
11/28/22 07:44:38,0
11/28/22 07:45:38,5
11/28/22 07:46:38,4
11/28/22 07:47:39,17
11/28/22 07:48:39,-4
11/28/22 07:49:39,0
11/28/22 07:50:39,0
11/28/22 07:51:39,0
11/28/22 07:52:39,0
11/28/22 07:53:39,-10
11/28/22 07:54:39,-13
11/28/22 07:55:39,0
11/28/22 07:56:39,3
11/28/22 07:57:39,-6
11/28/22 07:58:39,-4
11/28/22 07:59:39,12
11/28/22 08:00:39,0
11/28/22 08:01:39,0
11/28/22 08:02:43,-16
11/28/22 08:03:43,-2
11/28/22 08:04:43,0
11/28/22 08:05:43,0
11/28/22 08:06:43,0
11/28/22 08:07:43,34
11/28/22 08:08:43,22
11/28/22 08:09:43,0
11/28/22 08:10:43,0
11/28/22 08:11:43,4
11/28/22 08:12:43,0
11/28/22 08:13:43,-6
11/28/22 08:14:43,11
11/28/22 08:15:43,3
11/28/22 08:16:43,0
11/28/22 08:17:44,0
11/28/22 08:18:44,11
11/28/22 08:19:44,0
11/28/22 08:20:44,21
11/28/22 08:21:44,1
11/28/22 08:22:44,-4
11/28/22 08:23:44,8
11/28/22 08:24:44,0
11/28/22 08:25:44,8
11/28/22 08:26:44,0
11/28/22 08:27:44,0
11/28/22 08:28:44,-4
11/28/22 08:29:44,-15
11/28/22 08:30:44,13
11/28/22 08:31:44,-29
11/28/22 08:32:45,-4
11/28/22 08:33:45,68
11/28/22 08:34:45,86
11/28/22 08:35:45,34
11/28/22 08:36:45,-22
11/28/22 08:37:45,53
11/28/22 08:38:45,8
11/28/22 08:39:45,0
11/28/22 08:40:45,31
11/28/22 08:41:45,0
11/28/22 08:42:45,5
11/28/22 08:43:45,-56
11/28/22 08:44:45,-10
11/28/22 08:45:45,-51
11/28/22 08:46:45,1
11/28/22 08:47:45,19
11/28/22 08:48:46,2
11/28/22 08:49:46,7
11/28/22 08:50:46,13
11/28/22 08:51:46,4
11/28/22 08:52:46,8
11/28/22 08:53:46,-1
11/28/22 08:54:46,0
11/28/22 08:55:46,-2
11/28/22 08:56:46,-4
11/28/22 08:57:46,0
11/28/22 08:58:46,0
11/28/22 08:59:46,-5
11/28/22 09:00:46,-13
11/28/22 09:01:46,2
11/28/22 09:02:46,15
11/28/22 09:03:48,-6
11/28/22 09:04:48,0
11/28/22 09:05:48,-6
11/28/22 09:06:48,21
11/28/22 09:07:48,0
11/28/22 09:08:48,-4
11/28/22 09:09:48,-57
11/28/22 09:10:48,-3
11/28/22 09:11:48,4
11/28/22 09:12:48,0
11/28/22 09:13:48,0
11/28/22 09:14:48,-4
11/28/22 09:15:48,-35
11/28/22 09:16:48,16
11/28/22 09:17:48,2
11/28/22 09:18:49,0
11/28/22 09:19:49,-1
11/28/22 09:20:49,13
11/28/22 09:21:49,-9
11/28/22 09:22:49,1
11/28/22 09:23:49,0
11/28/22 09:24:49,12
11/28/22 09:25:49,-1
11/28/22 09:26:49,0
11/28/22 09:27:49,-7
11/28/22 09:28:49,-6
11/28/22 09:29:49,-2
11/28/22 09:30:49,12
11/28/22 09:31:49,3
11/28/22 09:32:49,-8
11/28/22 09:33:50,-4
11/28/22 09:34:50,-7
11/28/22 09:35:50,13
11/28/22 09:36:50,-3
11/28/22 09:37:50,-55
11/28/22 09:38:50,11
11/28/22 09:39:50,3
11/28/22 09:40:50,0
11/28/22 09:41:50,9
11/28/22 09:42:50,4
11/28/22 09:43:50,13
11/28/22 09:44:50,-4
11/28/22 09:45:50,24
11/28/22 09:46:50,-27
11/28/22 09:47:50,11
11/28/22 09:48:52,0
11/28/22 09:49:52,0
11/28/22 09:50:52,13
11/28/22 09:51:52,-1
11/28/22 09:52:52,-3
11/28/22 09:53:52,0
11/28/22 09:54:52,11
11/28/22 09:55:52,-8
11/28/22 09:56:52,0
11/28/22 09:57:52,-8
11/28/22 09:58:52,-2
11/28/22 09:59:52,0
11/28/22 10:00:52,8
11/28/22 10:01:52,-36
11/28/22 10:02:52,8
11/28/22 10:03:53,-7
11/28/22 10:04:53,-19
11/28/22 10:05:53,4
11/28/22 10:06:53,-13
11/28/22 10:07:53,-2
11/28/22 10:08:53,12
11/28/22 10:09:53,-3
11/28/22 10:10:53,-15
11/28/22 10:11:53,0
11/28/22 10:12:53,58
11/28/22 10:13:53,2
11/28/22 10:14:53,-10
11/28/22 10:15:53,-8
11/28/22 10:16:53,-17
11/28/22 10:17:53,-11
11/28/22 10:18:57,-6
11/28/22 10:19:57,-22
11/28/22 10:20:57,1
11/28/22 10:21:57,21
11/28/22 10:22:57,-8
11/28/22 10:23:57,-12
11/28/22 10:24:57,22
11/28/22 10:25:57,39
11/28/22 10:26:57,0
11/28/22 10:27:57,13
11/28/22 10:28:57,15
11/28/22 10:29:57,0
11/28/22 10:30:57,11
11/28/22 10:31:57,0
11/28/22 10:32:57,0
11/28/22 10:33:58,-17
11/28/22 10:34:58,-17
11/28/22 10:35:58,-6
11/28/22 10:36:58,0
11/28/22 10:37:58,0
11/28/22 10:38:58,-1
11/28/22 10:39:58,0
11/28/22 10:40:58,0
11/28/22 10:41:58,-4
11/28/22 10:42:58,0
11/28/22 10:43:58,-4
11/28/22 10:44:58,-1
11/28/22 10:45:58,0
11/28/22 10:46:58,20
11/28/22 10:47:58,7
11/28/22 10:49:00,-15
11/28/22 10:50:00,0
11/28/22 10:51:00,-4
11/28/22 10:52:00,-30
11/28/22 10:53:00,9
11/28/22 10:54:00,-7
11/28/22 10:55:00,4
11/28/22 10:56:00,-17
11/28/22 10:57:00,-26
11/28/22 10:58:00,-11
11/28/22 10:59:00,-2
11/28/22 11:00:00,0
11/28/22 11:01:00,0
11/28/22 11:02:00,-2
11/28/22 11:03:00,-8
11/28/22 11:04:00,9
11/28/22 11:05:00,20
11/28/22 11:06:00,21
11/28/22 11:07:00,6
11/28/22 11:08:00,5
11/28/22 11:09:00,0
11/28/22 11:10:00,-7
11/28/22 11:11:00,3
11/28/22 11:12:00,8
11/28/22 11:13:00,-6
11/28/22 11:14:00,5
11/28/22 11:15:00,34
11/28/22 11:16:00,4
11/28/22 11:17:00,28
11/28/22 11:18:00,4
11/28/22 11:19:02,8
11/28/22 11:20:02,1
11/28/22 11:21:02,-37
11/28/22 11:22:02,-4
11/28/22 11:23:02,4
11/28/22 11:24:02,-5
11/28/22 11:25:02,0
11/28/22 11:26:02,0
11/28/22 11:27:02,-4
11/28/22 11:28:02,-4
11/28/22 11:29:02,0
11/28/22 11:30:02,24
11/28/22 11:31:02,-13
11/28/22 11:32:02,10
11/28/22 11:33:02,-36
11/28/22 11:34:04,-2
11/28/22 11:35:04,0
11/28/22 11:36:04,-10
11/28/22 11:37:04,5
11/28/22 11:38:04,-2
11/28/22 11:39:04,0
11/28/22 11:40:04,0
11/28/22 11:41:04,0
11/28/22 11:42:04,-8
11/28/22 11:43:04,26
11/28/22 11:44:04,1
11/28/22 11:45:04,-4
11/28/22 11:46:04,9
11/28/22 11:47:04,26
11/28/22 11:48:04,2
11/28/22 11:49:08,26
11/28/22 11:50:08,10
11/28/22 11:51:08,-16
11/28/22 11:52:08,14
11/28/22 11:53:08,-2
11/28/22 11:54:08,4
11/28/22 11:55:08,0
11/28/22 11:56:08,-3
11/28/22 11:57:08,-4
11/28/22 11:58:08,-44
11/28/22 11:59:08,0
11/28/22 12:00:08,8
11/28/22 12:01:08,-13
11/28/22 12:02:08,0
11/28/22 12:03:08,-9
11/28/22 12:04:09,8
11/28/22 12:05:09,0
11/28/22 12:06:09,4
11/28/22 12:07:09,3
11/28/22 12:08:09,8
11/28/22 12:09:09,-1
11/28/22 12:10:09,-5
11/28/22 12:11:09,0
11/28/22 12:12:09,32
11/28/22 12:13:09,-28
11/28/22 12:14:09,0
11/28/22 12:15:09,0
11/28/22 12:16:09,-61
11/28/22 12:17:09,21
11/28/22 12:18:09,2
11/28/22 12:19:10,-13
11/28/22 12:20:10,-2
11/28/22 12:21:10,13
11/28/22 12:22:10,53
11/28/22 12:23:10,-21
11/28/22 12:24:10,30
11/28/22 12:25:10,0
11/28/22 12:26:10,-1
11/28/22 12:27:10,-8
11/28/22 12:28:10,54
11/28/22 12:29:10,-26
11/28/22 12:30:10,-21
11/28/22 12:31:10,0
11/28/22 12:32:10,34
11/28/22 12:33:10,0
11/28/22 12:34:12,-11
11/28/22 12:35:12,53
11/28/22 12:36:12,-8
11/28/22 12:37:12,5
11/28/22 12:38:12,-39
11/28/22 12:39:12,4
11/28/22 12:40:12,-72
11/28/22 12:41:12,-10
11/28/22 12:42:12,0
11/28/22 12:43:12,0
11/28/22 12:44:12,-8
11/28/22 12:45:12,-43
11/28/22 12:46:12,-4
11/28/22 12:47:12,0
11/28/22 12:48:12,47
11/28/22 12:49:14,0
11/28/22 12:50:14,2
11/28/22 12:51:14,0
11/28/22 12:52:14,65
11/28/22 12:53:14,3
11/28/22 12:54:14,-1
11/28/22 12:55:14,-18
11/28/22 12:56:14,-32
11/28/22 12:57:14,13
11/28/22 12:58:14,2
11/28/22 12:59:14,-2
11/28/22 13:00:14,0
11/28/22 13:01:14,15
11/28/22 13:02:14,11
11/28/22 13:03:14,28
11/28/22 13:04:17,0
11/28/22 13:05:17,-17
11/28/22 13:06:17,-3
11/28/22 13:07:17,35
11/28/22 13:08:17,-20
11/28/22 13:09:17,0
11/28/22 13:10:17,-52
11/28/22 13:11:17,-43
11/28/22 13:12:17,0
11/28/22 13:13:17,0
11/28/22 13:14:17,-4
11/28/22 13:15:17,-10
11/28/22 13:16:17,-39
11/28/22 13:17:17,-10
11/28/22 13:18:17,-11
11/28/22 13:19:20,0
11/28/22 13:20:20,0
11/28/22 13:21:20,-15
11/28/22 13:22:20,-44
11/28/22 13:23:20,-39
11/28/22 13:24:20,0
11/28/22 13:25:20,-1
11/28/22 13:26:20,7
11/28/22 13:27:20,-1
11/28/22 13:28:20,-8
11/28/22 13:29:20,-4
11/28/22 13:30:20,-5
11/28/22 13:31:20,0
11/28/22 13:32:20,-18
11/28/22 13:33:20,-18
11/28/22 13:34:23,-14
11/28/22 13:35:23,13
11/28/22 13:36:23,-2
11/28/22 13:37:23,0
11/28/22 13:38:23,-1
11/28/22 13:39:23,-47
