timestamp,bucket_values
2022-11-02T06:26:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.006, 0.018, 0.097, 0.346, 0.328, 0.142, 0.045, 0.011, 0.003, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2022-11-03T09:17:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.004, 0.008, 0.033, 0.147, 0.198, 0.189, 0.196, 0.167, 0.04, 0.011, 0.004, 0.002, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2022-11-04T08:14:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.003, 0.006, 0.015, 0.039, 0.152, 0.241, 0.209, 0.225, 0.079, 0.018, 0.007, 0.003, 0.002, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2022-11-05T08:36:00,"[0.0, 0.0, 0.0, 0.0, 0.005, 0.018, 0.073, 0.426, 0.362, 0.101, 0.013, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2022-11-06T08:02:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.003, 0.01, 0.038, 0.117, 0.189, 0.213, 0.238, 0.129, 0.04, 0.014, 0.005, 0.002, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2022-11-07T07:59:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.006, 0.019, 0.057, 0.167, 0.206, 0.172, 0.194, 0.113, 0.035, 0.015, 0.008, 0.003, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2022-11-08T07:40:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.007, 0.025, 0.091, 0.206, 0.223, 0.197, 0.133, 0.068, 0.029, 0.011, 0.005, 0.002, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2022-11-09T06:15:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.004, 0.013, 0.033, 0.131, 0.351, 0.291, 0.112, 0.04, 0.016, 0.005, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2022-11-11T08:27:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.003, 0.013, 0.047, 0.138, 0.237, 0.234, 0.175, 0.099, 0.033, 0.012, 0.006, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2022-11-12T08:47:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.006, 0.012, 0.033, 0.13, 0.244, 0.253, 0.218, 0.068, 0.02, 0.009, 0.003, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2022-11-13T08:41:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.004, 0.007, 0.016, 0.041, 0.105, 0.221, 0.294, 0.185, 0.077, 0.029, 0.011, 0.005, 0.001, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2022-11-14T08:19:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.004, 0.012, 0.028, 0.058, 0.313, 0.411, 0.114, 0.035, 0.011, 0.006, 0.004, 0.002, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2022-11-15T07:37:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.003, 0.006, 0.017, 0.076, 0.193, 0.25, 0.23, 0.176, 0.036, 0.008, 0.003, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2022-11-16T06:36:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.009, 0.037, 0.206, 0.266, 0.203, 0.128, 0.08, 0.044, 0.013, 0.006, 0.003, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2022-11-18T10:56:30,"[0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.006, 0.02, 0.054, 0.225, 0.293, 0.198, 0.127, 0.053, 0.014, 0.004, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.0]"
