type,frequency,target,result,status,is_primary,start_date,end_date,created_on,edited_on
ACTIVE_ZONE_MINUTES_GOAL,DAILY,43.0,null,NEW,false,null,null,2022-10-26T18:27:55.670+00:00,null
ACTIVE_ZONE_MINUTES_GOAL,WEEKLY,1000.0,null,NEW,false,null,null,2022-10-27T18:31:27.378+00:00,null
CALORIES_BURNED_GOAL,DAILY,4000.0,32.0,INPROGRESS_SO_FAR_MISSED,false,2022-12-03,2022-12-04,2022-10-26T17:00:56.000+00:00,null
STEPS_GOAL,DAILY,10000.0,0.0,INPROGRESS_SO_FAR_MISSED,false,2022-12-03,2022-12-04,2022-10-26T17:00:56.000+00:00,null
FLOORS_CLIMBED_GOAL,DAILY,10.0,0.0,INPROGRESS_SO_FAR_MISSED,false,2022-10-26,2022-10-27,2022-10-26T17:00:56.000+00:00,null
DISTANCE_FROM_STEPS_GOAL,DAILY,5.0,0.0,INPROGRESS_SO_FAR_MISSED,false,2022-12-03,2022-12-04,2022-10-26T17:00:56.000+00:00,null
ACTIVE_MINUTES_GOAL,DAILY,30.0,0.0,INPROGRESS_SO_FAR_MISSED,false,2022-12-03,2022-12-04,2022-10-26T17:00:56.000+00:00,null
STEPS_GOAL,WEEKLY,70000.0,34439.0,INPROGRESS_SO_FAR_MISSED,true,2022-11-27,2022-12-04,2022-10-26T17:00:56.000+00:00,null
DISTANCE_FROM_STEPS_GOAL,WEEKLY,35.0,15.0459,INPROGRESS_SO_FAR_MISSED,false,2022-11-27,2022-12-04,2022-10-26T17:00:56.000+00:00,null
FLOORS_CLIMBED_GOAL,WEEKLY,70.0,0.0,INPROGRESS_SO_FAR_MISSED,false,2022-10-23,2022-10-30,2022-10-26T17:00:56.000+00:00,null
CALORIES_BURNED_GOAL,WEEKLY,21931.0,19325.0,INPROGRESS_SO_FAR_MISSED,false,2022-11-27,2022-12-04,2022-10-26T17:00:56.000+00:00,null
WATER_GOAL,DAILY,1893.0,2839.0,COMPLETED_ACHIEVED,false,2022-10-23,2022-10-30,2022-10-26T17:00:56.000+00:00,null
BODY_FAT_GOAL,DAILY,25.9,0.0,INPROGRESS_SO_FAR_MISSED,false,2022-10-26,2022-10-27,2022-10-26T23:56:02.000+00:00,null
WEIGHT_GOAL,MONTHLY,180.0,214.0,NEW,false,null,null,2022-10-27T03:59:59.000+00:00,2022-10-26T23:56:01.000+00:00
