type,frequency,target,result,status,is_primary,start_date,end_date,created_on,edited_on
ACTIVE_ZONE_MINUTES_GOAL,DAILY,22.0,null,NEW,false,null,null,2022-10-24T01:51:27.639+00:00,null
ACTIVE_ZONE_MINUTES_GOAL,WEEKLY,150.0,null,NEW,false,null,null,2022-10-24T01:51:27.632+00:00,null
CALORIES_BURNED_GOAL,DAILY,2384.0,0.0,INPROGRESS_SO_FAR_MISSED,false,2023-04-24,2023-04-25,2022-10-20T16:51:17.000+00:00,null
STEPS_GOAL,DAILY,10000.0,0.0,INPROGRESS_SO_FAR_MISSED,false,2023-04-24,2023-04-25,2022-10-20T16:51:17.000+00:00,null
FLOORS_CLIMBED_GOAL,DAILY,10.0,0.0,INPROGRESS_SO_FAR_MISSED,false,2022-10-20,2022-10-21,2022-10-20T16:51:17.000+00:00,null
DISTANCE_FROM_STEPS_GOAL,DAILY,5.0,0.0,INPROGRESS_SO_FAR_MISSED,false,2023-04-24,2023-04-25,2022-10-20T16:51:17.000+00:00,null
ACTIVE_MINUTES_GOAL,DAILY,30.0,0.0,INPROGRESS_SO_FAR_MISSED,false,2023-04-24,2023-04-25,2022-10-20T16:51:17.000+00:00,null
STEPS_GOAL,WEEKLY,70000.0,0.0,INPROGRESS_SO_FAR_MISSED,true,2023-04-23,2023-04-30,2022-10-20T16:51:17.000+00:00,null
DISTANCE_FROM_STEPS_GOAL,WEEKLY,35.0,0.0,INPROGRESS_SO_FAR_MISSED,false,2023-04-23,2023-04-30,2022-10-20T16:51:17.000+00:00,null
FLOORS_CLIMBED_GOAL,WEEKLY,70.0,0.0,INPROGRESS_SO_FAR_MISSED,false,2022-10-16,2022-10-23,2022-10-20T16:51:17.000+00:00,null
CALORIES_BURNED_GOAL,WEEKLY,16688.0,26.0,INPROGRESS_SO_FAR_MISSED,false,2023-04-23,2023-04-30,2022-10-20T16:51:17.000+00:00,null
WATER_GOAL,DAILY,1893.0,0.0,INPROGRESS_SO_FAR_MISSED,false,2022-10-16,2022-10-23,2022-10-20T16:51:17.000+00:00,null
